,Candidate,State,District,Office Type,Race Type,Race Primary Election Date,Primary Status,Primary Runoff Status,General Status,Primary %,Won Primary,Party Affiliation,Cand_Office,Cand_Office_St,Cand_Office_Dist,Cand_Party_Affiliation,Cand_Incumbent_Challenger_Open_Seat,Total_Receipt,Total_Disbursement,Cash_On_Hand_COP,Debt_Owed_By_Committee,Coverage_End_Date,Cand_Street_1,Cand_Street_2,Cand_City,Cand_State,Cand_Zip,Individual_Itemized_Contribution,Individual_Unitemized_Contribution,Individual_Contribution,Other_Committee_Contribution,Party_Committee_Contribution,Cand_Contribution,Total_Contribution,Transfer_From_Other_Auth_Committee,Cand_Loan,Other_Loan,Total_Loan,Offsets_To_Operating_Expenditure,Offsets_To_Fundraising,Offsets_To_Leagal_Accounting,Other_Receipts,Operating_Expenditure,Exempt_Legal_Accounting_Disbursement,Fundraising_Disbursement,Transfer_To_Other_Auth_Committee,Cand_Loan_Repayment,Other_Loan_Repayment,Total_Loan_Repayment,Individual_Refund,Party_Committee_Refund,Other_Committee_Refund,Total_Contribution_Refund,Other_Disbursements,Net_Contribution,Net_Operating_Expenditure,Cash_On_Hand_BOP,Debt_Owe_To_Committee,Coverage_Start_Date
0,ANTHONY WHITE,AL,Governor of Alabama,Governor,Regular,6/5/18,Lost,None,None,3.4200001,No,Dem,H,TX,21.0,REP,OPEN,0.0,0.0,0.0,0.0,,136 COOL ROCK,,BOERNE,TX,78006.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1,ANTHONY WHITE,TX,U.S. House Texas District 21,Representative,Regular,3/6/18,Lost,None,None,1.33,No,Rep,H,TX,21.0,REP,OPEN,0.0,0.0,0.0,0.0,,136 COOL ROCK,,BOERNE,TX,78006.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2,TABITHA ISNER,AL,U.S. House Alabama District 2,Representative,Regular,6/5/18,Advanced,None,On the Ballot,60.439999,Yes,Dem,H,AL,2.0,DEM,CHALLENGER,524941.35,524941.35,0.0,0.0,12/31/2018,4349 WHITE ACRES RD.,,MONTGOMERY,AL,36106.0,305482.95,196007.62,501490.57,8605.0,0.0,14285.73,524381.3,0.0,0.0,0.0,0.0,0.0,0,0,560.05,514145.3,0.0,0.0,0.0,0.0,0.0,0.0,4796.05,0.0,1000.0,5796.05,5000.0,518585.25,514145.3,0.0,0.0,09/12/2017
3,MALLORY HAGAN,AL,U.S. House Alabama District 3,Representative,Regular,6/5/18,Advanced,None,On the Ballot,65.739998,Yes,Dem,H,AL,3.0,DEM,CHALLENGER,467514.71,464472.2,2917.53,2493.22,12/31/2018,1810 WALNUT HILL LANE,,OPELIKA,AL,36801.0,215160.38,194148.88,409309.26,30500.0,500.0,0.0,440309.26,0.0,0.0,0.0,0.0,27205.45,0,0,0.0,433536.77,0.0,0.0,0.0,0.0,0.0,0.0,3935.43,0.0,0.0,3935.43,27000.0,436373.83,406331.32,0.0,0.0,01/01/2018
4,DANNER KLINE,AL,U.S. House Alabama District 6,Representative,Regular,6/5/18,Advanced,None,On the Ballot,100.0,Yes,Dem,H,AL,6.0,DEM,CHALLENGER,287432.23,287432.23,0.0,0.0,11/26/2018,PO BOX 430191,,VESTAVIA HILLS,AL,35243.0,190763.5,86850.73,277614.23,9000.0,0.0,818.0,287432.23,0.0,0.0,0.0,0.0,0.0,0,0,0.0,285091.56,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,35.0,2305.67,287397.23,285091.56,0.0,2285.67,04/01/2017
5,CHINTAN DESAI,AR,U.S. House Arkansas District 1,Representative,Regular,5/22/18,Advanced,None,On the Ballot,100.0,Yes,Dem,H,AR,1.0,DEM,CHALLENGER,137153.22,137153.22,0.0,0.0,11/30/2018,104 AVALON PLACE,,HELENA,AR,72342.0,57903.0,62332.13,120235.13,12320.46,0.0,4597.63,137153.22,0.0,0.0,0.0,0.0,0.0,0,0,0.0,137069.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0,137153.22,137069.22,0.0,0.0,10/01/2017
6,JONATHAN DUNKLEY,AR,U.S. House Arkansas District 2,Representative,Regular,5/22/18,Lost,None,None,9.3400002,No,Dem,H,AR,2.0,DEM,CHALLENGER,34466.05,34298.21,417.84,10000.0,07/25/2018,11610 PLEASANT RIDGE ROAD,103-126,LITTLE ROCK,AR,72223.0,18226.05,6240.0,24466.05,0.0,0.0,0.0,24466.05,0.0,10000.0,0.0,10000.0,0.0,0,0,0.0,34298.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24466.05,34298.21,250.0,0.0,01/01/2018
7,PAUL SPENCER,AR,U.S. House Arkansas District 2,Representative,Regular,5/22/18,Lost,None,None,12.55,No,Dem,H,AR,2.0,DEM,CHALLENGER,270092.89,270092.89,0.0,0.0,12/31/2018,14010 HWY. 161 SOUTH,,SCOTT,AR,72142.0,150667.56,114926.43,265593.99,0.0,0.0,1583.0,267176.99,0.0,0.0,0.0,0.0,2915.9,0,0,0.0,268009.89,0.0,0.0,0.0,0.0,0.0,0.0,2083.0,0.0,0.0,2083.0,0.0,265093.99,265093.99,0.0,0.0,04/01/2017
8,HAYDEN SHAMEL,AR,U.S. House Arkansas District 4,Representative,Regular,5/22/18,Advanced,None,On the Ballot,100.0,Yes,Dem,H,AR,4.0,DEM,CHALLENGER,157247.12,155049.94,2197.18,0.0,12/31/2018,218 CLIFFWOOD LOOP,,HOT SPRINGS,AR,71913.0,82676.83,48734.79,131411.62,12325.88,7764.32,3576.2,155078.02,0.0,0.0,0.0,0.0,2169.1,0,0,0.0,151424.13,0.0,0.0,0.0,0.0,0.0,0.0,309.0,0.0,2701.81,3010.81,615.0,152067.21,149255.03,0.0,0.0,08/01/2017
9,BRIANNA WESTBROOK,AZ,U.S. House Arizona District 8,Representative,Special,2/27/18,Lost,None,None,39.720001,No,Dem,H,AZ,8.0,DEM,OPEN,42870.67,38439.89,0.0,0.0,06/30/2018,11805 W. MONTANA DE ORO,,SUN CITY,AZ,85373.0,8052.0,31118.67,39170.67,250.0,3175.0,275.0,42870.67,0.0,0.0,0.0,0.0,0.0,0,0,0.0,34610.68,0.0,0.0,3829.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42470.67,36410.68,0.0,0.0,04/01/2017
